			Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV	UV	Hi	Heat	Cool	In	In	In	In	In	In Air	Temp	Hum		Leaf	Leaf	Leaf	Leaf	Wind	Wind	ISS	Arc.
	Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar	Rain	Rate	Rad.	Energy	Rad.	Index	Dose	UV	D-D	D-D	Temp	Hum	Dew	Heat	EMC	Density	2nd	2nd	ET	Wet 1	Wet 2	Temp 1	Temp 2	Samp	Tx	Recept	Int.
	--------	--------	-------	-------	------	-------	------	------	-------	------	-------	-----	-------	-------	-------	-------	--------	------	------	-------	--------	---------	------	-------	------	--------	--------	------	-------	-------	-------	------	---------	-------	-------	-------	-------	-------	--------	--------	------	------	--------	--------
1	23/09/2012	12:10a	24.7	25.2	24.7	41	10.6	0	---	0	0	---	24.7	24.3	24.3	22.8	1011.8	0	0	0	0	0	0	0	0	0	0.044	27.3	31	8.7	26.2	6.15	1.1609	---	---	0	---	---	---	---	229	1	100	10
2	23/09/2012	12:20a	24.7	24.7	24.5	42	10.9	0	---	0	0	---	24.7	24.3	24.3	22.8	1011.8	0	0	0	0	0	0	0	0	0	0.044	27.3	31	8.7	26.2	6.15	1.1609	---	---	0	---	---	---	---	231	1	100	10
3	23/09/2012	12:30a	24.7	24.7	24.7	42	10.9	0	---	0	0	---	24.7	24.3	24.3	22.8	1011.8	0	0	0	0	0	0	0	0	0	0.044	27.3	31	8.7	26.2	6.15	1.1608	---	---	0	---	---	---	---	229	1	100	10
4	23/09/2012	12:40a	24.7	24.8	24.6	42	10.9	0	---	0	0	---	24.7	24.3	24.3	22.8	1011.9	0	0	0	0	0	0	0	0	0	0.044	27.2	31	8.6	26.1	6.15	1.1614	---	---	0	---	---	---	---	228	1	100	10
5	23/09/2012	12:50a	24.7	24.8	24.7	42	10.9	0	---	0	0	---	24.7	24.3	24.3	22.8	1011.8	0	0	0	0	0	0	0	0	0	0.044	27.2	31	8.6	26.1	6.15	1.1613	---	---	0	---	---	---	---	233	1	100	10
6	23/09/2012	1:00a	23.9	24.6	23.9	42	10.2	0	---	0	0	---	23.9	23.6	23.6	22.1	1011.9	0	0	0	0	0	0	0	0	0	0.039	27.2	31	8.6	26.1	6.15	1.1614	---	---	0.05	---	---	---	---	232	1	100	10
7	23/09/2012	1:10a	23.9	23.9	23.9	43	10.6	0	---	0	0	---	23.9	23.7	23.7	22.2	1011.9	0	0	0	0	0	0	0	0	0	0.039	27.1	31	8.5	26	6.15	1.162	---	---	0	---	---	---	---	227	1	99.6	10
8	23/09/2012	1:20a	23.7	24.1	23.7	44	10.7	0	---	0	0	---	23.7	23.4	23.4	21.9	1011.9	0	0	0	0	0	0	0	0	0	0.037	27.1	31	8.5	26	6.15	1.162	---	---	0	---	---	---	---	232	1	100	10
9	23/09/2012	1:30a	24.1	24.1	23.7	43	10.7	0	---	0	0	---	24.1	23.8	23.8	22.3	1011.9	0	0	0	0	0	0	0	0	0	0.04	27	31	8.4	25.9	6.15	1.1623	---	---	0	---	---	---	---	232	1	100	10
10	23/09/2012	1:40a	24.1	24.2	24.1	42	10.3	0	---	0	0	---	24.1	23.7	23.7	22.2	1012	0	0	0	0	0	0	0	0	0	0.04	27	31	8.4	25.9	6.15	1.1623	---	---	0	---	---	---	---	227	1	99.6	10
11	23/09/2012	1:50a	23.8	24.1	23.8	44	10.8	0	---	0	0	---	23.8	23.6	23.6	22.1	1012	0	0	0	0	0	0	0	0	0	0.038	26.9	31	8.3	25.8	6.15	1.1629	---	---	0	---	---	---	---	226	1	99.1	10
12	23/09/2012	2:00a	23.9	23.9	23.8	43	10.6	0	---	0	0	---	23.9	23.7	23.7	22.2	1011.9	0	0	0	0	0	0	0	0	0	0.039	26.9	31	8.3	25.8	6.15	1.1628	---	---	0.05	---	---	---	---	223	1	97.8	10
13	23/09/2012	2:10a	23.7	23.9	23.7	44	10.7	0	---	0	0	---	23.7	23.4	23.4	21.9	1012	0	0	0	0	0	0	0	0	0	0.037	26.9	31	8.3	25.8	6.15	1.1629	---	---	0	---	---	---	---	225	1	98.7	10
14	23/09/2012	2:20a	23.3	23.7	23.3	45	10.7	0	---	0	0	---	23.3	23	23	21.5	1011.9	0	0	0	0	0	0	0	0	0	0.035	26.8	31	8.2	25.7	6.15	1.1633	---	---	0	---	---	---	---	223	1	97.8	10
15	23/09/2012	2:30a	22.6	23.3	22.6	46	10.4	0	---	0	0	---	22.6	22.1	22.1	20.5	1011.9	0	0	0	0	0	0	0	0	0	0.03	26.8	31	8.2	25.7	6.15	1.1633	---	---	0	---	---	---	---	228	1	100	10
16	23/09/2012	2:40a	22.8	22.8	22.6	46	10.6	0	---	0	0	---	22.8	22.4	22.4	20.9	1011.9	0	0	0	0	0	0	0	0	0	0.031	26.7	31	8.1	25.6	6.15	1.1638	---	---	0	---	---	---	---	221	1	96.9	10
17	23/09/2012	2:50a	22.6	22.9	22.6	44	9.7	0.9	NNW	0.54	1.8	NNE	22.6	21.9	21.9	20.3	1011.9	0	0	0	0	0	0	0	0	0	0.029	26.7	31	8.1	25.6	6.15	1.1637	---	---	0	---	---	---	---	221	1	96.9	10
18	23/09/2012	3:00a	22.9	22.9	22.5	44	10	0.9	NNE	0.54	2.2	NNE	22.9	22.4	22.4	20.9	1011.7	0	0	0	0	0	0	0	0	0	0.032	26.6	31	8	25.5	6.15	1.164	---	---	0.05	---	---	---	---	220	1	96.5	10
19	23/09/2012	3:10a	22.8	22.9	22.6	45	10.3	0.4	N	0.27	1.8	N	22.8	22.3	22.3	20.8	1011.7	0	0	0	0	0	0	0	0	0	0.031	26.6	31	8	25.5	6.15	1.1641	---	---	0	---	---	---	---	220	1	96.5	10
20	23/09/2012	3:20a	22.3	23	22.3	43	9.1	0.9	NNW	0.54	2.2	NNW	22.3	21.5	21.5	19.9	1011.7	0	0	0	0	0	0	0	0	0	0.028	26.4	31	7.9	25.4	6.16	1.1646	---	---	0	---	---	---	---	227	1	99.6	10
21	23/09/2012	3:30a	22.5	22.5	22.3	45	10	1.8	NNW	1.07	2.2	NW	22.5	21.8	21.8	20.3	1011.7	0	0	0	0	0	0	0	0	0	0.029	26.4	31	7.9	25.4	6.16	1.1646	---	---	0	---	---	---	---	223	1	97.8	10
22	23/09/2012	3:40a	22.8	22.8	22.5	44	9.9	0.9	NNW	0.54	1.8	NNW	22.8	22.2	22.2	20.7	1011.8	0	0	0	0	0	0	0	0	0	0.031	26.3	31	7.8	25.3	6.16	1.1652	---	---	0	---	---	---	---	228	1	100	10
23	23/09/2012	3:50a	23.2	23.2	22.8	42	9.5	0.9	NNW	0.54	1.3	NNW	23.2	22.7	22.7	21.1	1011.8	0	0	0	0	0	0	0	0	0	0.034	26.3	31	7.8	25.3	6.16	1.1652	---	---	0	---	---	---	---	225	1	98.7	10
24	23/09/2012	4:00a	22.2	23.2	22.2	44	9.4	0.4	NNW	0.27	1.8	NNW	22.2	21.4	21.4	19.8	1011.8	0	0	0	0	0	0	0	0	0	0.027	26.3	31	7.8	25.3	6.16	1.1652	---	---	0.08	---	---	---	---	224	1	98.2	10
25	23/09/2012	4:10a	22.3	22.5	22.2	44	9.4	0.4	NNW	0.27	1.3	NNW	22.3	21.5	21.5	19.9	1011.9	0	0	0	0	0	0	0	0	0	0.027	26.3	30	7.3	25.2	6.05	1.166	---	---	0	---	---	---	---	223	1	97.8	10
26	23/09/2012	4:20a	22.1	22.3	22.1	44	9.3	0.4	NNW	0.27	1.3	NNW	22.1	21.2	21.2	19.7	1012.1	0	0	0	0	0	0	0	0	0	0.026	26.3	31	7.8	25.3	6.16	1.1658	---	---	0	---	---	---	---	216	1	94.7	10
27	23/09/2012	4:30a	21.3	22.1	21.3	47	9.5	0.4	W	0.27	1.3	W	21.3	20.2	20.2	18.7	1012.1	0	0	0	0	0	0	0	0	0	0.02	26.2	30	7.2	25.2	6.05	1.1667	---	---	0	---	---	---	---	221	1	96.9	10
28	23/09/2012	4:40a	20.4	21.2	20.4	49	9.4	0	W	0	0.4	W	20.4	19.6	19.6	18.1	1012.1	0	0	0	0	0	0	0	0	0	0.015	26.2	31	7.7	25.2	6.17	1.1663	---	---	0	---	---	---	---	217	1	95.2	10
29	23/09/2012	4:50a	20.7	20.7	20.4	48	9.3	0.4	W	0.27	0.9	W	20.7	19.8	19.8	18.2	1012.1	0	0	0	0	0	0	0	0	0	0.017	26.1	31	7.6	25.1	6.17	1.1669	---	---	0	---	---	---	---	220	1	96.5	10
30	23/09/2012	5:00a	21.2	21.2	20.7	47	9.5	0	---	0	0	---	21.2	20.2	20.2	18.6	1012.3	0	0	0	0	0	0	0	0	0	0.02	26.1	30	7.1	25.1	6.05	1.1675	---	---	0.05	---	---	---	---	227	1	99.6	10
31	23/09/2012	5:10a	21	21.3	21	48	9.6	0	---	0	0	---	21	20	20	18.4	1012.3	0	0	0	0	0	0	0	0	0	0.019	25.9	30	7	25	6.05	1.168	---	---	0	---	---	---	---	223	1	97.8	10
32	23/09/2012	5:20a	21.1	21.1	20.9	47	9.3	0	---	0	0	---	21.1	19.9	19.9	18.4	1012.4	0	0	0	0	0	0	0	0	0	0.019	25.9	30	7	25	6.05	1.1681	---	---	0	---	---	---	---	219	1	96.1	10
33	23/09/2012	5:30a	21.1	21.1	21.1	47	9.4	0	---	0	0	---	21.1	20	20	18.4	1012.5	0	0	0	0	0	0	0	0	0	0.019	25.9	30	7	25	6.05	1.1682	---	---	0	---	---	---	---	222	1	97.4	10
34	23/09/2012	5:40a	20.7	21.1	20.7	49	9.6	0	---	0	0	---	20.7	19.8	19.8	18.3	1012.6	0	0	0	0	0	0	0	0	0	0.017	25.8	30	6.9	24.9	6.05	1.1688	---	---	0	---	---	---	---	223	1	97.8	10
35	23/09/2012	5:50a	20.8	20.8	20.7	48	9.4	0	---	0	0	---	20.8	19.8	19.8	18.3	1012.7	0	0	0	0	0	0	0	0	0	0.017	25.8	30	6.9	24.9	6.05	1.1689	---	---	0	---	---	---	---	221	1	96.9	10
36	23/09/2012	6:00a	20.9	21	20.8	48	9.5	0	---	0	0	---	20.9	19.9	19.9	18.4	1012.6	0	0	0	0	0	0	0	0	0	0.018	25.7	30	6.8	24.8	6.05	1.1694	---	---	0.05	---	---	---	---	224	1	98.2	10
37	23/09/2012	6:10a	20.9	20.9	20.8	48	9.5	0	---	0	0	---	20.9	19.9	19.9	18.3	1012.8	0	0	0	0	0	0	0	0	0	0.018	25.7	30	6.8	24.8	6.05	1.1696	---	---	0	---	---	---	---	226	1	99.1	10
38	23/09/2012	6:20a	21.2	21.2	20.9	46	9.1	0	---	0	0	---	21.2	20	20	18.4	1013	0	0	0	0	0	0	0	0	0	0.02	25.6	30	6.7	24.7	6.05	1.1703	---	---	0	---	---	---	---	224	1	98.2	10
39	23/09/2012	6:30a	21.2	21.3	21.2	47	9.4	0	---	0	0	---	21.2	20.1	20.1	18.5	1013	0	0	0	0	0	0	0	0	0	0.02	25.6	30	6.7	24.7	6.05	1.1703	---	---	0	---	---	---	---	226	1	99.1	10
40	23/09/2012	6:40a	20.4	21.1	20.4	49	9.4	0	---	0	0	---	20.4	19.6	19.6	18.1	1013.1	0	0	0	0	0	0	0	0	0	0.015	25.6	30	6.7	24.7	6.05	1.1705	---	---	0	---	---	---	---	226	1	99.1	10
41	23/09/2012	6:50a	20.5	20.5	20.3	49	9.4	0	---	0	0	---	20.5	19.7	19.7	18.2	1013.1	0	0	7	0.1	9	0	0	0	0	0.015	25.6	30	6.7	24.7	6.05	1.1708	---	---	0	---	---	---	---	226	1	99.1	10
42	23/09/2012	7:00a	20.8	20.8	20.5	48	9.4	0	---	0	0	---	20.8	19.8	19.8	18.4	1013.3	0	0	15	0.22	19	0	0	0	0	0.017	25.6	30	6.7	24.7	6.05	1.1709	---	---	0.03	---	---	---	---	227	1	99.6	10
